Country,Demographic.Pressures,Refugees.and.IDPs,Group.Grievance,Human.Flight,Uneven.Development,Poverty.and.Economic.Decline,Legitimacy.of.the.State,Public.Services,Human.Rights,Security.Apparatus,Factionalized.Elites,External.Intervention,HDI,Tourism,Natural.Resources,B.O.P,ICT,Legal.Rights.Index,Total
Afghanistan,(8.25-inf),(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(7.95-inf),(4-5.685],(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Albania,(3.45-5.35],(-inf-3.45],(4.65-8.05],(4.95-inf),(3.15-5.45],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Algeria,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(4.2-5.75],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Angola,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(7.35-inf),(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(-inf-5.095],All,(5.155-inf),(7.45-inf),All,Alert
Antigua & Barbuda,(3.45-5.35],(-inf-3.45],(-inf-4.65],(4.95-inf),(3.15-5.45],(3.2-5.35],(4.95-7.35],(2.55-4.75],(3.85-7.95],(4.55-7.65],(2.75-5.55],(5.75-7.95],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Argentina,(3.45-5.35],(-inf-3.45],(4.65-8.05],(-inf-3.15],(5.45-7.25],(3.2-5.35],(1.9-4.95],(2.55-4.75],(3.85-7.95],(2.5-4.55],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Armenia,(3.45-5.35],(3.45-7.25],(4.65-8.05],(4.95-inf),(3.15-5.45],(5.35-7.15],(4.95-7.35],(2.55-4.75],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Australia,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(-inf-3.2],(-inf-1.9],(-inf-2.55],(2.15-3.85],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(5.155-inf),(-inf-2.335],All,Sustainable
Austria,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(-inf-3.2],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
Azerbaijan,(5.35-8.25],(7.25-inf),(4.65-8.05],(3.15-4.95],(5.45-7.25],(3.2-5.35],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Warning
Bahamas,(5.35-8.25],(-inf-3.45],(-inf-4.65],(4.95-inf),(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Bahrain,(3.45-5.35],(-inf-3.45],(4.65-8.05],(3.15-4.95],(3.15-5.45],(3.2-5.35],(7.35-inf),(-inf-2.55],(3.85-7.95],(4.55-7.65],(5.55-8.45],(4.2-5.75],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Bangladesh,(5.35-8.25],(3.45-7.25],(8.05-inf),(4.95-inf),(7.25-inf),(5.35-7.15],(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(5.75-7.95],(4-5.685],(5.095-7.41],All,(-inf-5.155],(7.45-inf),All,Warning
Barbados,(3.45-5.35],(-inf-3.45],(-inf-4.65],(4.95-inf),(3.15-5.45],(5.35-7.15],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(4.2-5.75],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Belarus,(5.35-8.25],(3.45-7.25],(4.65-8.05],(3.15-4.95],(5.45-7.25],(5.35-7.15],(7.35-inf),(4.75-8.05],(7.95-inf),(4.55-7.65],(5.55-8.45],(5.75-7.95],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Warning
Belgium,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(3.2-5.35],(1.9-4.95],(-inf-2.55],(-inf-2.15],(-inf-2.5],(2.75-5.55],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(5.155-inf),(-inf-2.335],All,Stable
Belize,(5.35-8.25],(3.45-7.25],(-inf-4.65],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(2.75-5.55],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Benin,(5.35-8.25],(3.45-7.25],(-inf-4.65],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Warning
Bhutan,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Bolivia,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Bosnia,(3.45-5.35],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(2.55-4.75],(3.85-7.95],(4.55-7.65],(8.45-inf),(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Botswana,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(1.9-4.95],(4.75-8.05],(3.85-7.95],(2.5-4.55],(2.75-5.55],(4.2-5.75],(2.285-4],(5.095-7.41],All,(-inf-5.155],(4.615-7.45],All,Warning
Brazil,(5.35-8.25],(3.45-7.25],(4.65-8.05],(3.15-4.95],(7.25-inf),(3.2-5.35],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(2.75-5.55],(2.25-4.2],(2.285-4],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Brunei,(3.45-5.35],(-inf-3.45],(4.65-8.05],(3.15-4.95],(7.25-inf),(-inf-3.2],(4.95-7.35],(-inf-2.55],(3.85-7.95],(4.55-7.65],(5.55-8.45],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Bulgaria,(3.45-5.35],(-inf-3.45],(4.65-8.05],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(4.2-5.75],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Burkina Faso,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Burundi,(8.25-inf),(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(4.55-7.65],(5.55-8.45],(7.95-inf),(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Cambodia,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(8.45-inf),(5.75-7.95],(4-5.685],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Cameroon,(5.35-8.25],(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(5.75-7.95],(4-5.685],(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Canada,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(-inf-3.2],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
Cape Verde,(5.35-8.25],(3.45-7.25],(-inf-4.65],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(2.75-5.55],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Central African Republic,(8.25-inf),(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(7.95-inf),(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Chad,(8.25-inf),(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(7.95-inf),(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Chile,(3.45-5.35],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(-inf-2.75],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
China,(5.35-8.25],(3.45-7.25],(8.05-inf),(3.15-4.95],(7.25-inf),(3.2-5.35],(7.35-inf),(4.75-8.05],(7.95-inf),(4.55-7.65],(5.55-8.45],(2.25-4.2],(2.285-4],(-inf-5.095],All,(-inf-5.155],(4.615-7.45],All,Warning
Colombia,(5.35-8.25],(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(3.2-5.35],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Comoros,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(7.15-inf),(4.95-7.35],(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(7.95-inf),(4-5.685],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Congo (D. R.),(8.25-inf),(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(7.95-inf),(4-5.685],(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Congo (Republic),(5.35-8.25],(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(5.35-7.15],(7.35-inf),(8.05-inf),(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Warning
Costa Rica,(3.45-5.35],(3.45-7.25],(-inf-4.65],(3.15-4.95],(5.45-7.25],(3.2-5.35],(1.9-4.95],(4.75-8.05],(2.15-3.85],(2.5-4.55],(2.75-5.55],(4.2-5.75],(2.285-4],(-inf-5.095],All,(5.155-inf),(2.335-4.615],All,Stable
Cote dIvoire,(5.35-8.25],(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(7.95-inf),(4-5.685],(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Croatia,(3.45-5.35],(3.45-7.25],(4.65-8.05],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(3.85-7.95],(2.5-4.55],(2.75-5.55],(4.2-5.75],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Cuba,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(3.2-5.35],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Cyprus,(3.45-5.35],(3.45-7.25],(4.65-8.05],(3.15-4.95],(5.45-7.25],(5.35-7.15],(4.95-7.35],(2.55-4.75],(2.15-3.85],(4.55-7.65],(5.55-8.45],(7.95-inf),(1.185-2.285],(5.095-7.41],All,(5.155-inf),(2.335-4.615],All,Warning
Czech Republic,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(-inf-2.5],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(2.335-4.615],All,Stable
Denmark,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(-inf-3.2],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Sustainable
Dijbouti,(5.35-8.25],(7.25-inf),(4.65-8.05],(4.95-inf),(7.25-inf),(7.15-inf),(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(7.95-inf),(4-5.685],(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Alert
Dominican Republic,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Ecuador,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
Egypt,(5.35-8.25],(3.45-7.25],(8.05-inf),(4.95-inf),(5.45-7.25],(7.15-inf),(7.35-inf),(4.75-8.05],(7.95-inf),(7.65-inf),(8.45-inf),(5.75-7.95],(2.285-4],(-inf-5.095],All,(5.155-inf),(4.615-7.45],All,Warning
El Salvador,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(4.95-7.35],(4.75-8.05],(3.85-7.95],(4.55-7.65],(2.75-5.55],(4.2-5.75],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Equatorial Guinea,(5.35-8.25],(3.45-7.25],(4.65-8.05],(4.95-inf),(7.25-inf),(3.2-5.35],(7.35-inf),(4.75-8.05],(7.95-inf),(4.55-7.65],(5.55-8.45],(5.75-7.95],(4-5.685],(5.095-7.41],All,(5.155-inf),(7.45-inf),All,Warning
Eritrea,(8.25-inf),(7.25-inf),(4.65-8.05],(4.95-inf),(5.45-7.25],(7.15-inf),(7.35-inf),(8.05-inf),(7.95-inf),(4.55-7.65],(5.55-8.45],(7.95-inf),(5.685-inf),(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Estonia,(3.45-5.35],(-inf-3.45],(4.65-8.05],(3.15-4.95],(3.15-5.45],(3.2-5.35],(1.9-4.95],(2.55-4.75],(2.15-3.85],(2.5-4.55],(2.75-5.55],(2.25-4.2],(1.185-2.285],(-inf-5.095],All,(-inf-5.155],(-inf-2.335],All,Stable
Ethiopia,(8.25-inf),(7.25-inf),(8.05-inf),(4.95-inf),(7.25-inf),(7.15-inf),(4.95-7.35],(8.05-inf),(7.95-inf),(7.65-inf),(8.45-inf),(7.95-inf),(4-5.685],(7.41-inf),All,(5.155-inf),(7.45-inf),All,Alert
Fiji,(3.45-5.35],(3.45-7.25],(4.65-8.05],(4.95-inf),(5.45-7.25],(5.35-7.15],(7.35-inf),(4.75-8.05],(3.85-7.95],(4.55-7.65],(5.55-8.45],(5.75-7.95],(2.285-4],(5.095-7.41],All,(5.155-inf),(4.615-7.45],All,Warning
Finland,(-inf-3.45],(-inf-3.45],(-inf-4.65],(-inf-3.15],(-inf-3.15],(3.2-5.35],(-inf-1.9],(-inf-2.55],(-inf-2.15],(-inf-2.5],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(5.155-inf),(-inf-2.335],All,Sustainable
France,(-inf-3.45],(-inf-3.45],(4.65-8.05],(-inf-3.15],(3.15-5.45],(3.2-5.35],(1.9-4.95],(-inf-2.55],(2.15-3.85],(2.5-4.55],(-inf-2.75],(-inf-2.25],(-inf-1.185],(-inf-5.095],All,(5.155-inf),(-inf-2.335],All,Stable
