InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537218,85016,SET OF 6 VINTAGE NOTELETS KIT,6,2010-12-05 15:46:00,2.55,12763,Japan
537218,21506,"FANCY FONT BIRTHDAY CARD, ",12,2010-12-05 15:46:00,0.42,12763,Japan
537218,22716,CARD CIRCUS PARADE,12,2010-12-05 15:46:00,0.42,12763,Japan
537218,22983,CARD BILLBOARD FONT,12,2010-12-05 15:46:00,0.42,12763,Japan
537218,22030,SWALLOWS GREETING CARD,12,2010-12-05 15:46:00,0.42,12763,Japan
537218,22984,CARD GINGHAM ROSE ,12,2010-12-05 15:46:00,0.42,12763,Japan
537218,85015,SET OF 12  VINTAGE POSTCARD SET,6,2010-12-05 15:46:00,2.55,12763,Japan
537218,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,12,2010-12-05 15:46:00,1.69,12763,Japan
537218,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,2010-12-05 15:46:00,0.85,12763,Japan
537218,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,12,2010-12-05 15:46:00,0.85,12763,Japan
537218,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,2010-12-05 15:46:00,1.45,12763,Japan
537218,84988,SET OF 72 PINK HEART PAPER DOILIES,24,2010-12-05 15:46:00,1.45,12763,Japan
537218,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,16,2010-12-05 15:46:00,3.75,12763,Japan
537218,22750,FELTCRAFT PRINCESS LOLA DOLL,8,2010-12-05 15:46:00,3.75,12763,Japan
537218,22751,FELTCRAFT PRINCESS OLIVIA DOLL,8,2010-12-05 15:46:00,3.75,12763,Japan
537218,22940,FELTCRAFT CHRISTMAS FAIRY,8,2010-12-05 15:46:00,4.25,12763,Japan
537899,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1488,2010-12-09 10:44:00,2.55,12755,Japan
538397,22961,JAM MAKING SET PRINTED,60,2010-12-12 11:44:00,1.45,12753,Japan
538397,85032B,BLOSSOM IMAGES GIFT WRAP SET,48,2010-12-12 11:44:00,2.1,12753,Japan
538397,85032C,CURIOUS IMAGES GIFT WRAP SET,48,2010-12-12 11:44:00,2.1,12753,Japan
538397,85032A,ROMANTIC IMAGES GIFT WRAP SET,48,2010-12-12 11:44:00,2.1,12753,Japan
538397,22857,ASSORTED EASTER GIFT TAGS,48,2010-12-12 11:44:00,0.85,12753,Japan
538397,85017B,ENVELOPE 50 BLOSSOM IMAGES,48,2010-12-12 11:44:00,0.85,12753,Japan
538397,22024,RAINY LADIES BIRTHDAY CARD,72,2010-12-12 11:44:00,0.36,12753,Japan
538397,21507,"ELEPHANT, BIRTHDAY CARD, ",72,2010-12-12 11:44:00,0.36,12753,Japan
538397,22025,RING OF ROSES BIRTHDAY CARD,72,2010-12-12 11:44:00,0.36,12753,Japan
538397,22028,PENNY FARTHING BIRTHDAY CARD,72,2010-12-12 11:44:00,0.36,12753,Japan
538397,22718,CARD CAT AND TREE ,72,2010-12-12 11:44:00,0.36,12753,Japan
538397,21218,RED SPOTTY BISCUIT TIN,24,2010-12-12 11:44:00,3.25,12753,Japan
538397,22073,RED RETROSPOT STORAGE JAR,16,2010-12-12 11:44:00,3.39,12753,Japan
538397,22858,EASTER TIN KEEPSAKE,42,2010-12-12 11:44:00,1.65,12753,Japan
538397,22859,EASTER TIN BUNNY BOUQUET,60,2010-12-12 11:44:00,1.65,12753,Japan
538397,22861,EASTER TIN CHICKS IN GARDEN,30,2010-12-12 11:44:00,1.65,12753,Japan
538397,21380,WOODEN HAPPY BIRTHDAY GARLAND,24,2010-12-12 11:44:00,2.95,12753,Japan
538397,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,36,2010-12-12 11:44:00,1.69,12753,Japan
538397,47566,PARTY BUNTING,20,2010-12-12 11:44:00,4.65,12753,Japan
538397,22896,PEG BAG APPLES DESIGN,50,2010-12-12 11:44:00,2.1,12753,Japan
538397,21155,RED RETROSPOT PEG BAG,60,2010-12-12 11:44:00,2.1,12753,Japan
538397,22567,20 DOLLY PEGS RETROSPOT,96,2010-12-12 11:44:00,1.06,12753,Japan
538397,22558,CLOTHES PEGS RETROSPOT PACK 24 ,96,2010-12-12 11:44:00,1.25,12753,Japan
538397,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,48,2010-12-12 11:44:00,2.95,12753,Japan
538397,22549,PICTURE DOMINOES,72,2010-12-12 11:44:00,1.25,12753,Japan
538397,22654,DELUXE SEWING KIT ,21,2010-12-12 11:44:00,5.95,12753,Japan
538397,85177,BASKET OF FLOWERS SEWING KIT,96,2010-12-12 11:44:00,0.85,12753,Japan
538397,21259,VICTORIAN SEWING BOX SMALL ,24,2010-12-12 11:44:00,4.95,12753,Japan
538397,22651,GENTLEMAN SHIRT REPAIR KIT ,96,2010-12-12 11:44:00,0.85,12753,Japan
538397,22088,PAPER BUNTING COLOURED LACE,40,2010-12-12 11:44:00,2.55,12753,Japan
538397,84880,WHITE WIRE EGG HOLDER,12,2010-12-12 11:44:00,4.95,12753,Japan
538397,21210,SET OF 72 RETROSPOT PAPER  DOILIES,60,2010-12-12 11:44:00,1.45,12753,Japan
538397,84988,SET OF 72 PINK HEART PAPER DOILIES,96,2010-12-12 11:44:00,1.25,12753,Japan
538397,21078,SET/20 STRAWBERRY PAPER NAPKINS ,48,2010-12-12 11:44:00,0.85,12753,Japan
538397,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,60,2010-12-12 11:44:00,0.85,12753,Japan
538397,22662,LUNCH BAG DOLLY GIRL DESIGN,60,2010-12-12 11:44:00,1.65,12753,Japan
538397,22664,TOY TIDY DOLLY GIRL DESIGN,30,2010-12-12 11:44:00,2.1,12753,Japan
538397,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,100,2010-12-12 11:44:00,0.72,12753,Japan
538397,22244,3 HOOK HANGER MAGIC GARDEN,36,2010-12-12 11:44:00,1.95,12753,Japan
538397,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,48,2010-12-12 11:44:00,1.65,12753,Japan
538397,22242,5 HOOK HANGER MAGIC TOADSTOOL,36,2010-12-12 11:44:00,1.65,12753,Japan
538397,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",48,2010-12-12 11:44:00,0.85,12753,Japan
538397,22623,BOX OF VINTAGE JIGSAW BLOCKS ,20,2010-12-12 11:44:00,4.25,12753,Japan
538397,22619,SET OF 6 SOLDIER SKITTLES,32,2010-12-12 11:44:00,3.75,12753,Japan
538397,22231,JIGSAW TREE WITH BIRDHOUSE,24,2010-12-12 11:44:00,1.45,12753,Japan
538397,22230,JIGSAW TREE WITH WATERING CAN,24,2010-12-12 11:44:00,0.85,12753,Japan
538397,22232,JIGSAW TOADSTOOLS 3 PIECE,32,2010-12-12 11:44:00,1.65,12753,Japan
538397,21717,EASTER TIN BUCKET,32,2010-12-12 11:44:00,2.1,12753,Japan
C540392,21155,RED RETROSPOT PEG BAG,-1,2011-01-06 18:06:00,2.1,12753,Japan
C540392,22244,3 HOOK HANGER MAGIC GARDEN,-1,2011-01-06 18:06:00,1.95,12753,Japan
C540392,22088,PAPER BUNTING COLOURED LACE,-40,2011-01-06 18:06:00,2.55,12753,Japan
C540392,22567,20 DOLLY PEGS RETROSPOT,-3,2011-01-06 18:06:00,1.25,12753,Japan
543179,22407,MONEY BOX FIRST ADE DESIGN,1,2011-02-04 10:31:00,1.25,12754,Japan
543179,22406,MONEY BOX KINGS CHOICE DESIGN,1,2011-02-04 10:31:00,1.25,12754,Japan
543179,22405,MONEY BOX POCKET MONEY DESIGN,1,2011-02-04 10:31:00,1.25,12754,Japan
543179,21745,GAOLERS KEYS DECORATIVE GARDEN ,1,2011-02-04 10:31:00,3.75,12754,Japan
543179,22496,SET OF 2 ROUND TINS DUTCH CHEESE,1,2011-02-04 10:31:00,2.95,12754,Japan
543179,22495,SET OF 2 ROUND TINS CAMEMBERT ,1,2011-02-04 10:31:00,2.95,12754,Japan
543179,22494,EMERGENCY FIRST AID TIN ,1,2011-02-04 10:31:00,1.25,12754,Japan
543179,22258,FELT FARM ANIMAL RABBIT,1,2011-02-04 10:31:00,1.25,12754,Japan
543179,22257,FELT FARM ANIMAL SHEEP,1,2011-02-04 10:31:00,1.25,12754,Japan
543179,22256,FELT FARM ANIMAL CHICKEN,1,2011-02-04 10:31:00,1.25,12754,Japan
543179,22268,EASTER DECORATION SITTING BUNNY,1,2011-02-04 10:31:00,0.85,12754,Japan
543179,22267,EASTER DECORATION EGG BUNNY ,1,2011-02-04 10:31:00,1.25,12754,Japan
543179,10002,INFLATABLE POLITICAL GLOBE ,1,2011-02-04 10:31:00,0.85,12754,Japan
543179,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1,2011-02-04 10:31:00,0.29,12754,Japan
543179,22620,4 TRADITIONAL SPINNING TOPS,1,2011-02-04 10:32:00,1.25,12754,Japan
543179,22492,MINI PAINT SET VINTAGE ,1,2011-02-04 10:32:00,0.65,12754,Japan
543179,22546,MINI JIGSAW PURDEY,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22544,MINI JIGSAW SPACEBOY,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22543,MINI JIGSAW BAKE A CAKE ,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22541,MINI JIGSAW LEAP FROG,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22540,MINI JIGSAW CIRCUS PARADE ,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22539,MINI JIGSAW DOLLY GIRL,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22536,MAGIC DRAWING SLATE PURDEY,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22534,MAGIC DRAWING SLATE SPACEBOY ,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22533,MAGIC DRAWING SLATE BAKE A CAKE ,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22532,MAGIC DRAWING SLATE LEAP FROG ,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22561,WOODEN SCHOOL COLOURING SET,1,2011-02-04 10:32:00,1.65,12754,Japan
543179,22489,PACK OF 12 TRADITIONAL CRAYONS,1,2011-02-04 10:32:00,0.42,12754,Japan
543179,22558,CLOTHES PEGS RETROSPOT PACK 24 ,1,2011-02-04 10:32:00,1.49,12754,Japan
543179,22567,20 DOLLY PEGS RETROSPOT,1,2011-02-04 10:32:00,1.25,12754,Japan
543179,22364,GLASS JAR DIGESTIVE BISCUITS,1,2011-02-04 10:32:00,2.95,12754,Japan
543179,22360,GLASS JAR ENGLISH CONFECTIONERY,1,2011-02-04 10:32:00,2.95,12754,Japan
543179,22359,GLASS JAR KINGS CHOICE,1,2011-02-04 10:32:00,2.95,12754,Japan
543179,22410,MONEY BOX HOUSEKEEPING DESIGN,1,2011-02-04 10:32:00,1.25,12754,Japan
543179,22409,MONEY BOX BISCUITS DESIGN,1,2011-02-04 10:32:00,1.25,12754,Japan
543179,22408,MONEY BOX CONFECTIONERY DESIGN,1,2011-02-04 10:32:00,1.25,12754,Japan
543518,22759,SET OF 3 NOTEBOOKS IN PARCEL,36,2011-02-09 11:21:00,1.65,12753,Japan
543518,22662,LUNCH BAG DOLLY GIRL DESIGN,100,2011-02-09 11:21:00,1.45,12753,Japan
543518,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,100,2011-02-09 11:21:00,0.72,12753,Japan
543518,21717,EASTER TIN BUCKET,32,2011-02-09 11:21:00,2.1,12753,Japan
543518,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,48,2011-02-09 11:21:00,2.55,12753,Japan
543518,22861,EASTER TIN CHICKS IN GARDEN,30,2011-02-09 11:21:00,1.65,12753,Japan
543518,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,96,2011-02-09 11:21:00,1.45,12753,Japan
543518,22232,JIGSAW TOADSTOOLS 3 PIECE,32,2011-02-09 11:21:00,1.65,12753,Japan
543518,21439,BASKET OF TOADSTOOLS,96,2011-02-09 11:21:00,1.25,12753,Japan
543518,22654,DELUXE SEWING KIT ,40,2011-02-09 11:21:00,4.95,12753,Japan
543518,21259,VICTORIAN SEWING BOX SMALL ,24,2011-02-09 11:21:00,4.95,12753,Japan
543518,22668,PINK BABY BUNTING,50,2011-02-09 11:21:00,2.55,12753,Japan
543518,22669,RED BABY BUNTING ,50,2011-02-09 11:21:00,2.55,12753,Japan
543518,47566B,TEA TIME PARTY BUNTING,50,2011-02-09 11:21:00,3.75,12753,Japan
543518,85232A,SET/3 POLKADOT STACKING TINS,24,2011-02-09 11:21:00,4.25,12753,Japan
543518,85032A,ROMANTIC IMAGES GIFT WRAP SET,48,2011-02-09 11:21:00,2.1,12753,Japan
543518,85032B,BLOSSOM IMAGES GIFT WRAP SET,48,2011-02-09 11:21:00,2.1,12753,Japan
543518,85032C,CURIOUS IMAGES GIFT WRAP SET,48,2011-02-09 11:21:00,2.1,12753,Japan
543518,22857,ASSORTED EASTER GIFT TAGS,60,2011-02-09 11:21:00,0.85,12753,Japan
543518,85017B,ENVELOPE 50 BLOSSOM IMAGES,48,2011-02-09 11:21:00,0.85,12753,Japan
543518,22244,3 HOOK HANGER MAGIC GARDEN,36,2011-02-09 11:21:00,1.95,12753,Japan
543518,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",48,2011-02-09 11:21:00,0.85,12753,Japan
543518,22549,PICTURE DOMINOES,144,2011-02-09 11:21:00,1.25,12753,Japan
543518,22623,BOX OF VINTAGE JIGSAW BLOCKS ,60,2011-02-09 11:21:00,4.25,12753,Japan
543518,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,24,2011-02-09 11:21:00,5.55,12753,Japan
543518,85232D,SET/3 DECOUPAGE STACKING TINS,24,2011-02-09 11:21:00,4.25,12753,Japan
543518,22378,WALL TIDY RETROSPOT ,30,2011-02-09 11:21:00,2.1,12753,Japan
543518,47566,PARTY BUNTING,100,2011-02-09 11:21:00,3.75,12753,Japan
543518,22090,PAPER BUNTING RETROSPOT,40,2011-02-09 11:21:00,2.55,12753,Japan
543518,22088,PAPER BUNTING COLOURED LACE,80,2011-02-09 11:21:00,2.55,12753,Japan
543518,22087,PAPER BUNTING WHITE LACE,40,2011-02-09 11:21:00,2.55,12753,Japan
543518,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,36,2011-02-09 11:21:00,1.69,12753,Japan
543518,21218,RED SPOTTY BISCUIT TIN,72,2011-02-09 11:21:00,3.25,12753,Japan
543518,22024,RAINY LADIES BIRTHDAY CARD,72,2011-02-09 11:21:00,0.36,12753,Japan
543518,22025,RING OF ROSES BIRTHDAY CARD,72,2011-02-09 11:21:00,0.36,12753,Japan
543518,22073,RED RETROSPOT STORAGE JAR,32,2011-02-09 11:21:00,3.39,12753,Japan
543518,22859,EASTER TIN BUNNY BOUQUET,108,2011-02-09 11:21:00,1.45,12753,Japan
543518,22858,EASTER TIN KEEPSAKE,108,2011-02-09 11:21:00,1.45,12753,Japan
543518,21210,SET OF 72 RETROSPOT PAPER  DOILIES,96,2011-02-09 11:21:00,1.25,12753,Japan
543518,84988,SET OF 72 PINK HEART PAPER DOILIES,96,2011-02-09 11:21:00,1.25,12753,Japan
543518,20750,RED RETROSPOT MINI CASES,24,2011-02-09 11:21:00,6.35,12753,Japan
543518,20724,RED RETROSPOT CHARLOTTE BAG,100,2011-02-09 11:21:00,0.72,12753,Japan
543518,20725,LUNCH BAG RED RETROSPOT,100,2011-02-09 11:21:00,1.45,12753,Japan
543518,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,2011-02-09 11:21:00,0.64,12753,Japan
543518,21217,RED RETROSPOT ROUND CAKE TINS,24,2011-02-09 11:21:00,8.95,12753,Japan
543518,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",48,2011-02-09 11:21:00,4.25,12753,Japan
543518,21980,PACK OF 12 RED RETROSPOT TISSUES ,96,2011-02-09 11:21:00,0.29,12753,Japan
543518,22333,RETROSPOT PARTY BAG + STICKER SET,96,2011-02-09 11:21:00,1.45,12753,Japan
C545446,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,-12,2011-03-02 16:33:00,2.55,12753,Japan
C545446,22654,DELUXE SEWING KIT ,-2,2011-03-02 16:33:00,4.95,12753,Japan
C545446,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,-1,2011-03-02 16:33:00,0.72,12753,Japan
C545446,20725,LUNCH BAG RED RETROSPOT,-1,2011-03-02 16:33:00,1.45,12753,Japan
C545446,20724,RED RETROSPOT CHARLOTTE BAG,-1,2011-03-02 16:33:00,0.72,12753,Japan
545448,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,6,2011-03-02 16:35:00,2.55,12753,Japan
545645,22654,DELUXE SEWING KIT ,1,2011-03-04 12:42:00,5.95,12755,Japan
545645,22968,ROSE COTTAGE KEEPSAKE BOX ,1,2011-03-04 12:42:00,9.95,12755,Japan
545645,22652,TRAVEL SEWING KIT,1,2011-03-04 12:42:00,1.65,12755,Japan
C545739,M,Manual,-1,2011-03-07 11:46:00,45.57,12754,Japan
545845,21260,FIRST AID TIN,1,2011-03-07 13:38:00,3.25,12754,Japan
545845,20735,BLACK MINI TAPE MEASURE ,1,2011-03-07 13:38:00,0.85,12754,Japan
545845,20733,GOLD MINI TAPE MEASURE ,1,2011-03-07 13:38:00,0.85,12754,Japan
545845,23193,BUFFALO BILL TREASURE BOOK BOX,1,2011-03-07 13:38:00,2.25,12754,Japan
545845,23194,GYMKHANA TREASURE BOOK BOX,1,2011-03-07 13:38:00,2.25,12754,Japan
545845,23176,ABC TREASURE BOOK BOX ,1,2011-03-07 13:38:00,2.25,12754,Japan
545845,23177,TREASURE ISLAND BOOK BOX,1,2011-03-07 13:38:00,2.25,12754,Japan
545845,23004,TRAVEL CARD WALLET PANTRY,1,2011-03-07 13:38:00,0.42,12754,Japan
545845,23000,TRAVEL CARD WALLET TRANSPORT,1,2011-03-07 13:38:00,0.42,12754,Japan
545845,22997,TRAVEL CARD WALLET UNION JACK,1,2011-03-07 13:38:00,0.42,12754,Japan
545845,22999,TRAVEL CARD WALLET RETRO PETALS,1,2011-03-07 13:38:00,0.42,12754,Japan
545845,22996,TRAVEL CARD WALLET VINTAGE TICKET,1,2011-03-07 13:38:00,0.42,12754,Japan
C545891,M,Manual,-1,2011-03-07 16:40:00,16.05,12754,Japan
C545892,M,Manual,-1,2011-03-07 16:41:00,17.55,12755,Japan
C548731,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-624,2011-04-04 10:12:00,2.55,12755,Japan
548993,20750,RED RETROSPOT MINI CASES,48,2011-04-05 13:56:00,6.35,12753,Japan
